constituency,party,name,gender,birth,job,academic,career,votes
화성시을,민주통합당,이원욱(李元旭),남,1963/03/20(49세),정당인,고려대학교 법과대학 법학과 4년 졸업,(현)민주당 화성시(을)지역위원회 위원장(현)노무현재단 기획위원,57004(55.62)
시흥시갑,새누리당,함진규(咸珍圭),남,1959/08/13(52세),한국무역보험공사 등기이사,고려대학교 대학원 법학박사과정 수료,(전)한나라당 시흥시갑 당협위원장(현)한국무역보험공사 등기이사,39939(47.83)
시흥시을,민주통합당,조정식(趙正湜),남,1963/12/25(48세),국회의원,연세대학교 행정대학원 졸업,(현)18대 국회의원(현)민주통합당 경기도당위원장,34596(59.61)
군포시,민주통합당,이학영(李學永),남,1952/04/16(59세),정당인,전남대학교 일반대학원 박사과정 수료(NGO협동과정),(전) 한국 YMCA 연맹 사무총장(전) 노무현재단 이사 ,65506(51.32)
하남시,새누리당,이현재(李賢在),남,1949/04/25(62세),정당인,건국대학교 대학원 경영학박사,(전)중소기업청장(전)한나라당 하남시 당협위원장,33861(52.80)
파주시갑,민주통합당,윤후덕(尹厚德),남,1957/01/09(55세),정당인,연세대학교 경제대학원 졸업(경제학 석사),(전)노무현대통령 비서실 정무비서관(현)파주발전시민연합회 운정3지구비상대책위원회 자문위원,43456(57.45)
파주시을,새누리당,황진하(黃震夏),남,1946/08/25(65세),제18대 국회의원,경남대학교 대학원 박사과정수료(정치외교학),(전)17대 국회의원(전)UN평화유지군 사령관,35408(53.78)
용인시갑,새누리당,이우현(李愚鉉),남,1957/01/03(55세),정당인,용인대학교 경영대학원 경영학과 졸업(경영학 석사),(전) 용인시 의회 의장(현) 용인시 생활체육회 회장,59823(50.89)
용인시을,민주통합당,김민기(金敏基),남,1966/04/28(45세),정당인,고려대학교 농업경제학과 졸업,(전)민주당 경기도당 대변인(전)용인시의회 민주당 대표의원,68052(54.08)
용인시병,새누리당,한선교(韓善敎),남,1959/06/23(52세),국회의원,성균관대학교 국가전략 대학원 졸업,(현) 18대 용인 수지 국회의원(현) 한국프로농구연맹(KBL)총재,66996(52.07)
안성시,새누리당,김학용(金學容),남,1961/12/10(50세),국회의원,중앙대학교 사회과학대학 경제학과 졸업,(전)경기도의회 부의장(현)국회의원,37955(55.36)
김포시,새누리당,유정복(劉正福),남,1957/06/16(54세),국회의원,연세대학교 대학원 정치학과 박사과정 수료,(전)농림수산식품부 장관(현)18대 국회의원(재선),61591(56.48)
광주시,새누리당,노철래(盧喆來),남,1950/01/02(62세),국회의원,중앙대학교 법과대학 법학과 졸업,(현)제18대 국회의원(전)친박연대 원내대표 ,47760(47.27)
포천시연천군,새누리당,김영우(金榮宇),남,1967/01/20(45세),국회의원,성균관대학교 국정관리대학원 박사과정(수료),(현)제18대 국회의원(현)새누리당 제1사무부총장,41024(50.43)
이천시,새누리당,유승우(柳勝優),남,1948/11/25(63세),강남대학교 석좌교수,고려대학교 문과대학 사학과 졸업,(전)제123대 이천시장(현)강남대학교 행정학과 석좌교수,31748(42.43)
여주군양평군가평군,새누리당,정병국(鄭柄國),남,1958/02/10(54세),국회의원,성균관 대학교 대학원 졸업(정치학박사),(전)문화체육관광부 장관(현)18대 국회의원,71544(67.46)
춘천시,새누리당,김진태(金鎭台),남,1964/10/13(47세),변호사,서울대학교 법과대학 공법학과 졸업,전)춘천지방검찰청 원주지청장전)춘천지방검찰청 부장검사,58629(49.30)
원주시갑,새누리당,김기선(金起善),남,1952/10/29(59세),정당인,경희대학교 법과대학 행정학과 졸업,전)강원도 정무부지사현)어린이재단 강원도 후원회장,31413(51.43)
원주시을,새누리당,이강후(李康厚),남,1953/06/04(58세),정당인,고려대학교 대학원(행정학 박사)졸업,전)지식경제부 우정사업정보센터 센터장전)대한석탄공사 사장,30761(48.73)
강릉시,새누리당,권성동(權性東),남,1960/04/29(51세),국회의원,중앙대학교 대학원 석사과정(사법전공) 수료,(전) 대통령실 민정수석실 법무비서관(현) 제18대 국회의원 ,57433(60.78)
동해시삼척시,새누리당,이이재(李利在),남,1959/03/17(53세),정당인,성균관대학교 사회복지대학원 사회복지학과 졸업(석사),전)한국광해관리공단이사장전) 한나라당 동해시삼척시 당원협의회위원장,33845(44.83)
속초시고성군양양군,새누리당,정문헌(鄭文憲),남,1966/05/04(45세),정당인,고려대학교 대학원 정치외교학과 졸업,(전)제17대 국회의원(전)청와대 통일비서관,31447(48.72)
홍천군횡성군,새누리당,황영철(黃永哲),남,1965/07/13(46세),국회의원,서울대학교 정치학과 졸업,(전) 한나라당 대표 권한대행 비서실장(현) 제18대 국회의원,29942(51.80)
태백시영월군평창군정선군,새누리당,염동열(廉東烈),남,1961/02/28(51세),정당인,국민대학교 대학원 졸업(행정학박사),(전)한국청년회의소 중앙회장(전)한나라당 태백·영월·평창·정선 당협 운영위원장,46537(56.61)
철원군화천군양구군인제군,새누리당,한기호(韓起鎬),남,1952/08/13(59세),국회의원,동국대학교 행정대학원 안보행정학과 석사과정 5학기 수료,(현)제18대 국회의원(현)새누리당 정책위부의장,36612(63.23)
청주시상당구,새누리당,정우택(鄭宇澤),남,1953/02/18(59세),정당인,미국 하와이대학교 대학원 경제학3년(1984. 6.~1987. 5.) 졸업(경제학 박사),(전)1516대 국회의원(전)충청북도지사,55141(53.89)
청주시흥덕구갑,민주통합당,오제세(吳濟世),남,1949/04/05(63세),국회의원,서울대학교 법과대학 행정학과 졸업,(현)제18대 국회의원(전)청주시 부시장,39314(44.73)
청주시흥덕구을,민주통합당,노영민(盧英敏),남,1957/11/25(54세),국회의원,연세대학교 경영학과 졸업,(현)국회 지식경제위원(전)민주당 대변인,41606(52.96)
충주시,새누리당,윤진식(尹鎭植),남,1946/03/04(66세),국회의원,건국대학교 일반대학원 국제무역학과 졸업(경제학박사),전)산업자원부장관전)대통령실 경제수석 겸 정책실장,56688(69.27)
제천시단양군,새누리당,송광호(宋光浩),남,1942/05/10(69세),국회의원,성균관대학교 경제학과 졸업,(전)한나라당최고위원(전)국회국토해양위원회위원장,41776(56.29)
